Tenant,Branch,Content Group Category,Content Group,Translation Provider Name,Translation Provider Type,Culture Group,Cultures,QE/AIPE Enabled,HPE Enabled,Vendor,TranslationFlavor
Default_Azure,adaptivecards.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,adaptivecards.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,adaptivecards.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,LIOX,
Default_Azure,adaptivecards.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
Default_SQL_ext_MT,advertising-api-build.live,SelfServe_Reference_Authored,Default Authored Reference Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"zh-CN,es-ES,pt-BR,ja-JP,de-DE,id-ID,ko-KR,zh-TW,it-IT,fr-FR,ru-RU",FALSE,,,
Default_SQL_ext_MT,advertising-api-build.live,SelfServe_Reference_Managed,Default Managed Reference Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"zh-CN,es-ES,pt-BR,ja-JP,de-DE,id-ID,ko-KR,zh-TW,it-IT,fr-FR,ru-RU",FALSE,,,
Default_SQL_ext_MT,advertising-api-build.live,SelfServe_Conceptual,Default OPS Conceptual Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"zh-CN,es-ES,pt-BR,ja-JP,de-DE,id-ID,ko-KR,zh-TW,it-IT,fr-FR,ru-RU",FALSE,,,
BIC_base22_2,agent365-docs-pr,SelfServe_Reference_Authored,,BIC_base22_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_22,"es-ES,pt-BR,ja-JP,hi-IN,el-GR,sv-SE,fi-FI,zh-CN,cs-CZ,id-ID,ko-KR,zh-TW,da-DK,de-DE,pl-PL,nl-NL,tr-TR,fr-FR,it-IT,th-TH,nb-NO,pt-PT",FALSE,,,
SelfServe-Default,agent-framework-python-pr.live,SelfServe_Reference_Authored,Default OPS Authored Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
SelfServe-Default,agent-framework-python-pr.live,SelfServe_Reference_Managed,Default OPS Managed Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
SelfServe-Default,agent-framework-python-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,SelfServe_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",TRUE,FALSE,LIOX,
SelfServe-Default,agent-framework-python-pr.live,SelfServe_Training,Default OPS Training,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
SelfServe-Default,agent-framework-python-pr.live,SelfServe_Training,Default OPS Training,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,TRUE,RWS,
SelfServe-Default,agent-framework-python-pr.live,SelfServe_Training,Default OPS Training,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Learn_MT_10,"fi-FI,vi-VN,ar-SA,hi-IN,nb-NO,uk-UA,th-TH,he-IL,ro-RO,da-DK",FALSE,FALSE,TransPerfect,
SelfServe-Default,agent-framework-python-pr.live,SelfServe_Legal,Default OPS Legal Group,Default_Azure_GL_18,GlDownstreamConnectorSagaTemplate,,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",,,RWS,MTPE
BIC_base41_2_art,ai-builder-pr.live,SelfServe_Reference_Authored,Default OPS Authored Reference Group,BIC_base41_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_23_noRTL,"el-GR,sv-SE,hu-HU,es-ES,ja-JP,pt-BR,fi-FI,zh-CN,cs-CZ,id-ID,ko-KR,zh-TW,da-DK,de-DE,nl-NL,pl-PL,nb-NO,pt-PT,th-TH,ru-RU,fr-FR,it-IT,tr-TR",FALSE,,,
BIC_base41_2_art,ai-builder-pr.live,SelfServe_Reference_Authored,Default OPS Authored Reference Group,BIC_base41_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_18_noAIPE,"ms-MY,sk-SK,sr-Latn-RS,bg-BG,vi-VN,hr-HR,gl-ES,hi-IN,kk-KZ,lv-LV,uk-UA,sr-Cyrl-RS,sl-SI,ca-ES,et-EE,eu-ES,ro-RO,lt-LT",FALSE,,,
BIC_base41_2_art,ai-builder-pr.live,SelfServe_Reference_Managed,Default OPS Managed Reference Group,BIC_base41_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_23_noRTL,"el-GR,sv-SE,hu-HU,es-ES,ja-JP,pt-BR,fi-FI,zh-CN,cs-CZ,id-ID,ko-KR,zh-TW,da-DK,de-DE,nl-NL,pl-PL,nb-NO,pt-PT,th-TH,ru-RU,fr-FR,it-IT,tr-TR",FALSE,,,
BIC_base41_2_art,ai-builder-pr.live,SelfServe_Reference_Managed,Default OPS Managed Reference Group,BIC_base41_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_18_noAIPE,"ms-MY,sk-SK,sr-Latn-RS,bg-BG,vi-VN,hr-HR,gl-ES,hi-IN,kk-KZ,lv-LV,uk-UA,sr-Cyrl-RS,sl-SI,ca-ES,et-EE,eu-ES,ro-RO,lt-LT",FALSE,,,
BIC_base41_2_art,ai-builder-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,BIC_base41_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,BIC_base_23_noRTL,"el-GR,sv-SE,hu-HU,es-ES,ja-JP,pt-BR,fi-FI,zh-CN,cs-CZ,id-ID,ko-KR,zh-TW,da-DK,de-DE,nl-NL,pl-PL,nb-NO,pt-PT,th-TH,ru-RU,fr-FR,it-IT,tr-TR",TRUE,TRUE,LIOX,
BIC_base41_2_art,ai-builder-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,BIC_base41_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,BIC_base_18_noAIPE,"ms-MY,sk-SK,sr-Latn-RS,bg-BG,vi-VN,hr-HR,gl-ES,hi-IN,kk-KZ,lv-LV,uk-UA,sr-Cyrl-RS,sl-SI,ca-ES,et-EE,eu-ES,ro-RO,lt-LT",FALSE,TRUE,LIOX,
BIC_base41_2_art,ai-builder-pr.live,SelfServe_Art,Default Art,BIC_Art_2,GlDownstreamConnectorSagaTemplate,,"fr-FR,ja-JP",,,LIOX,HT
