# METADATA,TOTAL_BRANCHES=310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Group,Number of Cultures,Cultures,BIC_Learn_2_art,BIC_PowerPlatform_2_art,BIC_base11_2,BIC_base17_2,BIC_base22_2,BIC_base41_2_art,BIC_base43_2,BIC_base52_2,CES_LifeCycle,CES_OfficeSupport,CES_ServicesHub,CES_SupportArticles,Default_Azure,Default_Azure2_1,Default_AzureUX,Default_Azure_1,Default_Azure_2,Default_Azure_MT,Default_Azure_ext2_1,Default_Azure_ext_1,Default_Azure_ext_1_art,Default_Azure_ext_MT,Default_Banners_1,Default_BizTalk,Default_DocsRoot_1,Default_DocsUI_1,Default_Learn_1,Default_Learn_1_art,Default_Legal_1,Default_Mooncake,Default_Mooncake_1,Default_PowerBI_1,Default_QNA_1,Default_SQL_MT,Default_SQL_ext,Default_SQL_ext_MT,Default_VS_ext_MT,GitHub_docs_1,OPS-E2E-Prod,Self-Serve-Test,SelfServe-Default
GitHub_base_1,1,ru-RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,,
Default_Azure_ext_1,1,ar-SA,,,,,,,,,,,,,,,,,,,,1|MT|0|0,8|MT|0|0,,,,,,,,,,,,,,,,,,,,
Default_Mooncake_1,1,zh-CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MTPE|0|0,2|MTPE|0|0,,,,,,,,,,
BIC_lang_hu-HU,1,hu-HU,,,,,,,,3|AIPE|3|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Serve-Test,2,"fr-FR,th-TH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3|AIPE|3|0,
CES_OfficeSupport_2,2,"fi-FI,he-IL",,,,,,,,,,2|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Azure_ext2,2,"ar-SA,he-IL",,,,,,,,,,,,,,,,,,,2|MT|0|0,,,,,,,,,,,,,,,,,,,,,,
BIC_Art_2_2,2,"fr-FR,ja-JP",,3|HT|0|0,,,,2|HT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Platform_HT_3,3,"bs-Latn-BA,lb-LU,zh-HK",,,,,,,,,,,,,,,,,,,,,,,1|HPE|0|0,,1|HPE|0|0,,,,1|HT|0|0,,,,,,,,,,,,
OPS-E2E-Prod-ref,3,"de-DE,ja-JP,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,
Default_Learn_MT_4,4,"hi-IN,ro-RO,uk-UA,vi-VN",,,,,,,,,,,,,,,,,,,,,,,,,,,6|MT|0|0,,,,,,,,,,,,,,
BIC_Relevant1_4,4,"fi-FI,nb-NO,pt-BR,sv-SE",,,10|HPE|0|10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS-E2E-Prod,5,"de-DE,ja-JP,ko-KR,pt-BR,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|AIPE|1|0,,
Default_Azure_6,6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",,,,,,,,,,,,,46|AIPE|46|0,,,40|AIPE|40|0,28|AIPE|28|0,,2|MT|0|0,1|AIPE|1|0,,,,,,,6|HPE|0|6,,,,,6|AIPE|6|0,2|AIPE|2|0,,,,,,,,7|HPE|0|7
Default_Azure_MT_6,6,"da-DK,el-GR,fi-FI,nb-NO,sk-SK,th-TH",,,,,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,,,,,6|MT|0|0,,,,,,,,,
OPS-E2E-Prod-training,6,"de-DE,hu-HU,ja-JP,ko-KR,pt-BR,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|AIPE|1|0,,
AIPE_ext_7,7,"ar-SA,da-DK,el-GR,fi-FI,he-IL,nb-NO,th-TH",,,,,,,,,,,,,,,,,,,,,,,,,1|HPE|0|1,,,,,,,,2|AIPE|2|0,,,,,,,,
GitHub_base_7,7,"de-DE,es-ES,fr-FR,ja-JP,ko-KR,pt-BR,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|HPE|0|1,,,
BIC_Essential1_7,7,"da-DK,de-DE,es-ES,fr-FR,it-IT,ja-JP,nl-NL",,,10|HPE|0|10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_base_8,8,"ar-SA,de-DE,es-ES,fr-FR,it-IT,ja-JP,pt-BR,zh-CN",2|HT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
